model,attribute,attribute_long,n,mean_score,sd_score
Qwen,S,Sensitivity,100,0.24,0.4292
Qwen,AUR,Assumption of User Accuracy,100,0.24,0.5341
Qwen,TD,Tentativeness / Directness,100,0.18,0.4353
Qwen,FIX,Fix-It Tendency,100,1.29,0.7823
Qwen,RT,Recommendation Type,92,1.2826,0.953
Qwen,TN,Topic Shift,100,1.27,0.5478
Qwen,QOC,Open / Closed Questions,100,0.22,0.561
Qwen,LM,Language Matching,100,0.56,0.6084
Qwen,ME,Minimal Encouragers,100,0.0,0.0
Qwen,EMP,Empathy & Matching,100,0.84,0.8005
Llama,S,Sensitivity,100,0.19,0.3943
Llama,AUR,Assumption of User Accuracy,100,0.12,0.3562
Llama,TD,Tentativeness / Directness,100,0.77,0.6795
Llama,FIX,Fix-It Tendency,100,1.87,0.4181
Llama,RT,Recommendation Type,72,1.8889,0.4613
Llama,TN,Topic Shift,100,1.48,0.5592
Llama,QOC,Open / Closed Questions,100,0.23,0.6172
Llama,LM,Language Matching,100,0.39,0.5486
Llama,ME,Minimal Encouragers,100,0.0,0.0
Llama,EMP,Empathy & Matching,100,1.31,0.7205
GPT,S,Sensitivity,100,0.23,0.423
GPT,AUR,Assumption of User Accuracy,100,0.44,0.6715
GPT,TD,Tentativeness / Directness,100,0.25,0.4578
GPT,FIX,Fix-It Tendency,100,1.72,0.514
GPT,RT,Recommendation Type,84,1.8095,0.5906
GPT,TN,Topic Shift,100,1.33,0.4935
GPT,QOC,Open / Closed Questions,100,0.28,0.6208
GPT,LM,Language Matching,100,0.51,0.5595
GPT,ME,Minimal Encouragers,100,0.02,0.1407
GPT,EMP,Empathy & Matching,100,0.84,0.7208
Claude,S,Sensitivity,100,0.31,0.4648
Claude,AUR,Assumption of User Accuracy,100,0.35,0.5573
Claude,TD,Tentativeness / Directness,100,0.36,0.5777
Claude,FIX,Fix-It Tendency,100,1.45,0.8087
Claude,RT,Recommendation Type,98,1.5,0.8645
Claude,TN,Topic Shift,100,1.36,0.5226
Claude,QOC,Open / Closed Questions,100,1.64,0.5777
Claude,LM,Language Matching,100,0.52,0.5942
Claude,ME,Minimal Encouragers,100,0.01,0.1
Claude,EMP,Empathy & Matching,100,0.92,0.7873
Gemini,S,Sensitivity,100,0.16,0.3685
Gemini,AUR,Assumption of User Accuracy,100,0.18,0.4115
Gemini,TD,Tentativeness / Directness,100,0.2,0.402
Gemini,FIX,Fix-It Tendency,100,1.27,0.7895
Gemini,RT,Recommendation Type,95,1.2842,0.9415
Gemini,TN,Topic Shift,100,1.24,0.5527
Gemini,QOC,Open / Closed Questions,100,0.18,0.5001
Gemini,LM,Language Matching,100,0.49,0.5595
Gemini,ME,Minimal Encouragers,100,0.0,0.0
Gemini,EMP,Empathy & Matching,100,0.74,0.7865
