model,attribute_a,attribute_b,rho
Qwen,S,S,1.0
Qwen,S,AUR,-0.11732585869508887
Qwen,S,TD,-0.2626214776145811
Qwen,S,FIX,-0.09720256993394055
Qwen,S,RT,-0.12684990514119143
Qwen,S,TN,-0.23616075189254243
Qwen,S,QOC,-0.11608843185597528
Qwen,S,LM,-0.028230298960024672
Qwen,S,ME,
Qwen,S,EMP,-0.19367572320789164
Qwen,AUR,S,-0.11732585869508887
Qwen,AUR,AUR,1.0
Qwen,AUR,TD,0.13398944164580198
Qwen,AUR,FIX,0.02600174625194106
Qwen,AUR,RT,0.1089032030853442
Qwen,AUR,TN,0.30504506074658483
Qwen,AUR,QOC,-0.009720004674466376
Qwen,AUR,LM,-0.19002135829053515
Qwen,AUR,ME,
Qwen,AUR,EMP,0.17452523937994568
Qwen,TD,S,-0.2626214776145811
Qwen,TD,AUR,0.13398944164580198
Qwen,TD,TD,1.0
Qwen,TD,FIX,0.7054772442037989
Qwen,TD,RT,0.22975250521871626
Qwen,TD,TN,0.7662438608238221
Qwen,TD,QOC,-0.013092799659826607
Qwen,TD,LM,0.23338691376943912
Qwen,TD,ME,
Qwen,TD,EMP,0.5455300712017009
Qwen,FIX,S,-0.09720256993394055
Qwen,FIX,AUR,0.02600174625194106
Qwen,FIX,TD,0.7054772442037989
Qwen,FIX,FIX,1.0
Qwen,FIX,RT,0.38946921445297467
Qwen,FIX,TN,0.7631656244649637
Qwen,FIX,QOC,0.1767345945138397
Qwen,FIX,LM,0.404453311645357
Qwen,FIX,ME,
Qwen,FIX,EMP,0.7786907784758804
Qwen,RT,S,-0.12684990514119143
Qwen,RT,AUR,0.1089032030853442
Qwen,RT,TD,0.22975250521871626
Qwen,RT,FIX,0.38946921445297467
Qwen,RT,RT,1.0
Qwen,RT,TN,0.37347466396137197
Qwen,RT,QOC,0.15625886842544984
Qwen,RT,LM,0.07389268030017736
Qwen,RT,ME,
Qwen,RT,EMP,0.4036858105260384
Qwen,TN,S,-0.23616075189254243
Qwen,TN,AUR,0.30504506074658483
Qwen,TN,TD,0.7662438608238221
Qwen,TN,FIX,0.7631656244649637
Qwen,TN,RT,0.37347466396137197
Qwen,TN,TN,1.0
Qwen,TN,QOC,0.1823112486999529
Qwen,TN,LM,0.21461936134310383
Qwen,TN,ME,
