model,rank,pair,rho
Qwen,1,EMP~FIX,0.7787
Qwen,2,TD~TN,0.7662
Qwen,3,FIX~TN,0.7632
Qwen,4,FIX~TD,0.7055
Qwen,5,EMP~TN,0.6899
Llama,1,FIX~TD,0.7706
Llama,2,AUR~TN,0.7091
Llama,3,EMP~FIX,0.6623
Llama,4,EMP~RT,0.6608
Llama,5,TD~TN,0.6186
GPT,1,FIX~TD,0.7702
GPT,2,EMP~FIX,0.7042
GPT,3,FIX~TN,0.6977
GPT,4,EMP~TN,0.6808
GPT,5,TD~TN,0.6172
Claude,1,FIX~TD,0.7579
Claude,2,EMP~FIX,0.6788
Claude,3,TD~TN,0.6301
Claude,4,FIX~TN,0.5728
Claude,5,EMP~TN,0.5539
Gemini,1,TD~TN,0.7465
Gemini,2,EMP~FIX,0.7419
Gemini,3,EMP~TN,0.6805
Gemini,4,FIX~TD,0.6408
Gemini,5,FIX~TN,0.6224
