model,attribute,attribute_long,is_binary,n,n_compound,mean,sd,count_0,count_1,count_2
Qwen,S,Sensitivity (binary),True,100,0,0.24,0.4292,76,24,
Qwen,AUR,Authentic / Universal Response,False,100,0,0.24,0.5341,81,14,5.0
Qwen,TD,Tone — Directive,False,100,0,0.18,0.4353,84,14,2.0
Qwen,FIX,Fix-it tendency,False,100,0,1.29,0.7823,20,31,49.0
Qwen,RT,Response Type,False,92,8,1.2826,0.953,32,2,58.0
Qwen,TN,Tone (general),False,100,0,1.27,0.5478,5,63,32.0
Qwen,QOC,Question / Open–Closed style,False,100,0,0.22,0.561,85,8,7.0
Qwen,LM,Length / Magnitude,False,100,0,0.56,0.6084,50,44,6.0
Qwen,ME,Mental-health Education (binary),True,100,0,0.0,0.0,100,0,
Qwen,EMP,Empathy,False,100,0,0.84,0.8005,41,34,25.0
Llama,S,Sensitivity (binary),True,100,0,0.19,0.3943,81,19,
Llama,AUR,Authentic / Universal Response,False,100,0,0.12,0.3562,89,10,1.0
Llama,TD,Tone — Directive,False,100,0,0.77,0.6795,37,49,14.0
Llama,FIX,Fix-it tendency,False,100,0,1.87,0.4181,3,7,90.0
Llama,RT,Response Type,False,72,28,1.8889,0.4613,4,0,68.0
Llama,TN,Tone (general),False,100,0,1.48,0.5592,3,46,51.0
Llama,QOC,Question / Open–Closed style,False,100,0,0.23,0.6172,87,3,10.0
Llama,LM,Length / Magnitude,False,100,0,0.39,0.5486,64,33,3.0
Llama,ME,Mental-health Education (binary),True,100,0,0.0,0.0,100,0,
Llama,EMP,Empathy,False,100,0,1.31,0.7205,15,39,46.0
GPT,S,Sensitivity (binary),True,100,0,0.23,0.423,77,23,
GPT,AUR,Authentic / Universal Response,False,100,0,0.44,0.6715,66,24,10.0
GPT,TD,Tone — Directive,False,100,0,0.25,0.4578,76,23,1.0
GPT,FIX,Fix-it tendency,False,100,0,1.72,0.514,3,22,75.0
GPT,RT,Response Type,False,84,16,1.8095,0.5906,8,0,76.0
GPT,TN,Tone (general),False,100,0,1.33,0.4935,1,65,34.0
GPT,QOC,Question / Open–Closed style,False,100,0,0.28,0.6208,81,10,9.0
GPT,LM,Length / Magnitude,False,100,0,0.51,0.5595,52,45,3.0
GPT,ME,Mental-health Education (binary),True,100,0,0.02,0.1407,98,2,
GPT,EMP,Empathy,False,100,0,0.84,0.7208,35,46,19.0
Claude,S,Sensitivity (binary),True,100,0,0.31,0.4648,69,31,
Claude,AUR,Authentic / Universal Response,False,100,0,0.35,0.5573,69,27,4.0
Claude,TD,Tone — Directive,False,100,0,0.36,0.5777,69,26,5.0
Claude,FIX,Fix-it tendency,False,100,0,1.45,0.8087,20,15,65.0
Claude,RT,Response Type,False,98,2,1.5,0.8645,24,1,73.0
Claude,TN,Tone (general),False,100,0,1.36,0.5226,2,60,38.0
Claude,QOC,Question / Open–Closed style,False,100,0,1.64,0.5777,5,26,69.0
Claude,LM,Length / Magnitude,False,100,0,0.52,0.5942,53,42,5.0
Claude,ME,Mental-health Education (binary),True,100,0,0.01,0.1,99,1,
Claude,EMP,Empathy,False,100,0,0.92,0.7873,35,38,27.0
Gemini,S,Sensitivity (binary),True,100,0,0.16,0.3685,84,16,
Gemini,AUR,Authentic / Universal Response,False,100,0,0.18,0.4115,83,16,1.0
Gemini,TD,Tone — Directive,False,100,0,0.2,0.402,80,20,0.0
Gemini,FIX,Fix-it tendency,False,100,0,1.27,0.7895,21,31,48.0
Gemini,RT,Response Type,False,95,5,1.2842,0.9415,32,4,59.0
Gemini,TN,Tone (general),False,100,0,1.24,0.5527,6,64,30.0
Gemini,QOC,Question / Open–Closed style,False,100,0,0.18,0.5001,87,8,5.0
Gemini,LM,Length / Magnitude,False,100,0,0.49,0.5595,54,43,3.0
Gemini,ME,Mental-health Education (binary),True,100,0,0.0,0.0,100,0,
Gemini,EMP,Empathy,False,100,0,0.74,0.7865,47,32,21.0
