conv_id,dataset,topic,annotator,llm_slot,llm_name,n_turns,SEN_open,SEN_peak,SEN_mean,SEN_delta,SEN_sd,SEN_slope,AUR_open,AUR_peak,AUR_mean,AUR_delta,AUR_sd,AUR_slope,TD_open,TD_peak,TD_mean,TD_delta,TD_sd,TD_slope,FIX_open,FIX_peak,FIX_mean,FIX_delta,FIX_sd,FIX_slope,RECT_open,RECT_peak,RECT_mean,RECT_delta,RECT_sd,RECT_slope,EMP_open,EMP_peak,EMP_mean,EMP_delta,EMP_sd,EMP_slope,LMT_open,LMT_peak,LMT_mean,LMT_delta,LMT_sd,LMT_slope,MEN_open,MEN_peak,MEN_mean,MEN_delta,MEN_sd,MEN_slope,TSH_open,TSH_peak,TSH_mean,TSH_delta,TSH_sd,TSH_slope,QOC_open,QOC_peak,QOC_mean,QOC_delta,QOC_sd,QOC_slope
CareBench_topic01,CareBench,1,,1,Qwen,10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.9,0.5,0.21081851067789198,0.01818181818181818,1.0,1.0,0.9,0.0,0.31622776601683794,0.04242424242424243,0.0,1.0,0.2,0.0,0.34960294939005054,-0.03636363636363637,0.0,1.0,0.1,0.0,0.31622776601683794,-0.04242424242424243,0.0,1.0,0.8,1.0,0.42163702135578396,0.09696969696969697,0.5,0.5,0.25,0.0,0.26352313834736496,-0.00909090909090909,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.408248290463863,0.09090909090909091,0.0,1.0,0.65,1.0,0.47434164902525694,0.06363636363636363
CareBench_topic01,CareBench,1,,2,Llama,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,1.0,0.3496029493900506,0.08484848484848485,0.0,1.0,0.75,1.0,0.42491829279939874,0.06363636363636363,0.0,1.0,0.7,1.0,0.48304589153964794,0.07878787878787878,0.0,1.0,0.4,0.5,0.31622776601683794,0.07272727272727274,0.0,1.0,0.45,0.5,0.3689323936863109,0.015151515151515147,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.21081851067789198,-0.006060606060606059,0.0,1.0,0.75,1.0,0.3535533905932738,0.1
CareBench_topic01,CareBench,1,,3,GPT,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.45,-0.5,0.28382310609877337,-0.003030303030303025,1.0,1.0,0.7,-1.0,0.48304589153964794,-0.07878787878787878,0.5,1.0,0.8,0.5,0.25819888974716115,0.03636363636363636,1.0,1.0,0.35,-0.5,0.3374742788552764,-0.051515151515151514,1.0,1.0,0.95,0.0,0.15811388300841897,-0.0030303030303030303,0.5,1.0,0.3,-0.5,0.3496029493900505,-0.024242424242424242,0.0,1.0,0.75,1.0,0.42491829279939874,0.11212121212121212
CareBench_topic01,CareBench,1,,4,Claude,10,0.0,1.0,0.2,1.0,0.42163702135578396,0.012121212121212116,1.0,1.0,0.95,0.0,0.15811388300841897,0.015151515151515152,0.0,1.0,0.7,1.0,0.42163702135578396,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.65,1.0,0.3374742788552764,0.0696969696969697,0.0,1.0,0.35,1.0,0.3374742788552765,0.0696969696969697,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.25,0.5,0.3535533905932738,0.045454545454545456,0.0,0.5,0.1,0.0,0.21081851067789198,-0.012121212121212121
CareBench_topic01,CareBench,1,,5,Gemini,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.9,0.5,0.21081851067789198,0.048484848484848485,0.0,0.5,0.15,0.0,0.24152294576982394,0.0030303030303030303,0.0,1.0,0.1,0.0,0.31622776601683794,0.006060606060606063,0.5,1.0,0.85,0.5,0.24152294576982397,0.021212121212121213,1.0,1.0,0.45,-1.0,0.3689323936863109,-0.045454545454545456,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.7,0.0,0.25819888974716115,0.0484848484848485,0.5,1.0,0.75,0.5,0.3535533905932738,0.0696969696969697
CareBench_topic02,CareBench,2,,1,Qwen,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3,0.0,0.4830458915396479,0.04242424242424243,1.0,1.0,0.3,0.0,0.4830458915396479,0.04242424242424243,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.4,-0.5,0.39440531887330776,-0.012121212121212118,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.85,0.0,0.24152294576982397,0.0030303030303030303,0.0,1.0,0.85,1.0,0.3374742788552764,0.03333333333333333
CareBench_topic02,CareBench,2,,2,Llama,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9,0.0,0.21081851067789198,-0.006060606060606061,1.0,1.0,0.95,0.0,0.15811388300841897,0.021212121212121213,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.6,0.0,0.31622776601683794,0.03636363636363636,1.0,1.0,0.65,-0.5,0.24152294576982397,0.00909090909090909,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.3,0.0,0.3496029493900505,0.006060606060606059,0.5,1.0,0.65,0.5,0.3374742788552764,0.021212121212121213
CareBench_topic02,CareBench,2,,3,GPT,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7,0.0,0.42163702135578396,0.048484848484848485,1.0,1.0,0.65,0.0,0.47434164902525694,0.045454545454545456,0.5,1.0,0.95,0.5,0.15811388300841897,0.02727272727272727,1.0,1.0,0.55,0.0,0.43779751788545657,0.03939393939393939,1.0,1.0,0.95,-0.5,0.15811388300841897,-0.02727272727272727,0.5,1.0,0.45,0.0,0.3689323936863109,-0.015151515151515152,0.0,1.0,0.6,1.0,0.39440531887330776,0.09696969696969697
CareBench_topic02,CareBench,2,,4,Claude,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,0.0,0.21081851067789198,-0.01818181818181818,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.1,0.5,0.21081851067789198,0.03636363636363636,0.0,1.0,0.1,1.0,0.31622776601683794,0.05454545454545454,1.0,1.0,0.95,0.0,0.15811388300841897,0.00909090909090909,0.5,1.0,0.5,0.0,0.3333333333333333,0.03636363636363636,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.55,1.0,0.43779751788545657,0.06363636363636363,0.0,1.0,0.35,0.0,0.3374742788552765,0.0030303030303030303
CareBench_topic02,CareBench,2,,5,Gemini,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.1,0.0,0.21081851067789198,2.691449756667046e-18,1.0,1.0,0.2,0.0,0.42163702135578396,5.382899513334092e-18,1.0,1.0,0.95,0.0,0.15811388300841897,-0.021212121212121213,0.5,0.5,0.35,0.0,0.24152294576982394,-0.03333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.85,0.0,0.24152294576982397,-0.02727272727272727,0.5,1.0,0.9,0.5,0.21081851067789198,0.048484848484848485
