model,metric,highlight,attribute,n_responses,mean,sd,sum
Qwen,span_count,SEN,S,100,0.38,1.1528,38
Qwen,span_count,AUR,AUR,100,0.56,0.9462,56
Qwen,span_count,TEN,TD,100,0.52,1.1324,52
Qwen,span_count,DIR,TD,100,2.43,3.5455,243
Qwen,span_count,FIX,FIX,100,1.33,2.4373,133
Qwen,span_count,RECT,RT,100,1.34,2.2257,134
Qwen,span_count,TSH,TN,100,1.46,2.1575,146
Qwen,span_count,QOP,QOC,100,0.07,0.2564,7
Qwen,span_count,QCL,QOC,100,0.14,0.4928,14
Qwen,span_count,LMT,LM,100,0.59,1.2235,59
Qwen,span_count,MEN,ME,100,0.0,0.0,0
Qwen,span_count,VIN,EMP,100,1.1,1.8559,110
Qwen,span_count,NIN,EMP,100,0.22,0.5427,22
Qwen,span_count,ASIN,EMP,100,0.08,0.4422,8
Qwen,span_count,SIN,EMP,100,0.54,0.9788,54
Qwen,span_count,VAC,EMP,100,0.4,0.8288,40
Qwen,span_count,NAC,EMP,100,0.04,0.1969,4
Qwen,span_count,ASAC,EMP,100,0.05,0.219,5
Qwen,span_count,SAC,EMP,100,0.25,0.6872,25
Qwen,span_count,INC,INC,100,0.08,0.2727,8
Llama,span_count,SEN,S,100,0.17,0.5136,17
Llama,span_count,AUR,AUR,100,0.27,0.6333,27
Llama,span_count,TEN,TD,100,1.39,2.3089,139
Llama,span_count,DIR,TD,100,0.91,1.4846,91
Llama,span_count,FIX,FIX,100,0.94,1.6319,94
Llama,span_count,RECT,RT,100,2.13,2.3253,213
Llama,span_count,TSH,TN,100,0.74,1.4538,74
Llama,span_count,QOP,QOC,100,0.12,0.518,12
Llama,span_count,QCL,QOC,100,0.05,0.2611,5
Llama,span_count,LMT,LM,100,0.33,0.7792,33
Llama,span_count,MEN,ME,100,0.0,0.0,0
Llama,span_count,VIN,EMP,100,0.34,0.7416,34
Llama,span_count,NIN,EMP,100,0.12,0.3835,12
Llama,span_count,ASIN,EMP,100,0.06,0.312,6
Llama,span_count,SIN,EMP,100,0.29,0.6403,29
Llama,span_count,VAC,EMP,100,0.72,1.3263,72
Llama,span_count,NAC,EMP,100,0.34,0.6231,34
Llama,span_count,ASAC,EMP,100,0.19,0.526,19
Llama,span_count,SAC,EMP,100,0.73,1.3696,73
Llama,span_count,INC,INC,100,0.02,0.1407,2
GPT,span_count,SEN,S,100,0.21,0.5559,21
GPT,span_count,AUR,AUR,100,0.61,0.875,61
GPT,span_count,TEN,TD,100,0.67,1.4146,67
GPT,span_count,DIR,TD,100,2.79,4.2433,279
GPT,span_count,FIX,FIX,100,1.31,2.3855,131
GPT,span_count,RECT,RT,100,2.08,2.6234,208
GPT,span_count,TSH,TN,100,1.28,2.2656,128
GPT,span_count,QOP,QOC,100,0.07,0.2932,7
GPT,span_count,QCL,QOC,100,0.14,0.4499,14
GPT,span_count,LMT,LM,100,0.44,0.9777,44
GPT,span_count,MEN,ME,100,0.03,0.1714,3
GPT,span_count,VIN,EMP,100,0.98,1.7808,98
GPT,span_count,NIN,EMP,100,0.17,0.4507,17
GPT,span_count,ASIN,EMP,100,0.1,0.3333,10
GPT,span_count,SIN,EMP,100,0.52,0.9154,52
GPT,span_count,VAC,EMP,100,0.34,0.8315,34
GPT,span_count,NAC,EMP,100,0.11,0.3145,11
GPT,span_count,ASAC,EMP,100,0.16,0.5265,16
GPT,span_count,SAC,EMP,100,0.22,0.5959,22
