llm,attr,open,end,peak,mean,delta,sigma,peak_turn,min_turn
Qwen,SEN,0.125,0.0704,0.125,0.0904,-0.0546,0.1429,1,10
Qwen,AUR,0.8611,0.8732,0.8732,0.8255,0.0121,0.2021,10,3
Qwen,TD,0.7778,0.9437,0.9437,0.8944,0.1659,0.1737,10,1
Qwen,FIX,0.5,0.4366,0.5,0.4263,-0.0634,0.3059,1,2
Qwen,RECT,0.5417,0.3028,0.5417,0.4018,-0.2388,0.3418,1,10
Qwen,EMP,0.6181,0.7394,0.7778,0.7337,0.1214,0.2135,4,1
Qwen,LMT,0.7708,0.7394,0.7847,0.7482,-0.0314,0.2183,5,9
Qwen,MEN,0.9931,0.9859,1.0,0.9944,-0.0071,0.0553,2,9
Qwen,TSH,0.3403,0.4437,0.4931,0.436,0.1034,0.1997,8,1
Qwen,QOC,0.6181,0.8803,0.8889,0.8172,0.2622,0.281,4,1
Llama,SEN,0.1111,0.0704,0.1111,0.082,-0.0407,0.1495,1,4
Llama,AUR,0.9444,0.9507,0.9507,0.9215,0.0063,0.1593,10,3
Llama,TD,0.5903,0.6197,0.6197,0.5772,0.0294,0.2372,10,3
Llama,FIX,0.5625,0.6127,0.7014,0.6161,0.0502,0.3436,3,1
Llama,RECT,0.6042,0.5423,0.6667,0.5896,-0.0619,0.3716,3,10
Llama,EMP,0.4792,0.493,0.493,0.4507,0.0138,0.3164,10,8
Llama,LMT,0.8125,0.7465,0.8403,0.799,-0.066,0.1985,2,10
Llama,MEN,1.0,0.9859,1.0,0.9986,-0.0141,0.025,1,10
Llama,TSH,0.2083,0.2746,0.2917,0.2532,0.0663,0.2009,9,1
Llama,QOC,0.4931,0.7394,0.7431,0.6677,0.2464,0.2863,6,1
GPT,SEN,0.0833,0.1127,0.125,0.096,0.0293,0.1637,5,9
GPT,AUR,0.8333,0.7535,0.8333,0.767,-0.0798,0.2229,1,4
GPT,TD,0.8125,0.9155,0.9306,0.8881,0.103,0.1646,7,1
GPT,FIX,0.6319,0.5563,0.6806,0.6209,-0.0756,0.289,7,10
GPT,RECT,0.6944,0.5,0.7014,0.6292,-0.1944,0.3523,3,10
GPT,EMP,0.625,0.6549,0.7153,0.6863,0.0299,0.2142,3,1
GPT,LMT,0.7917,0.7887,0.8194,0.7886,-0.0029,0.2189,5,4
GPT,MEN,0.9444,0.9366,0.9583,0.9423,-0.0078,0.1371,4,2
GPT,TSH,0.3056,0.3592,0.3819,0.3456,0.0536,0.1718,7,1
GPT,QOC,0.5764,0.9085,0.9085,0.7686,0.3321,0.3119,10,1
Claude,SEN,0.125,0.2958,0.2958,0.1962,0.1708,0.2756,10,1
Claude,AUR,0.7639,0.7042,0.7917,0.7531,-0.0597,0.2283,8,10
Claude,TD,0.6458,0.8451,0.8451,0.7845,0.1992,0.2236,10,1
Claude,FIX,0.3889,0.5423,0.5423,0.4105,0.1534,0.3646,10,2
Claude,RECT,0.375,0.5352,0.5352,0.3987,0.1602,0.3724,10,2
Claude,EMP,0.6181,0.5845,0.6667,0.6168,-0.0335,0.2649,4,7
Claude,LMT,0.7431,0.7676,0.7917,0.765,0.0246,0.2085,9,1
Claude,MEN,0.9931,0.9648,0.9931,0.9722,-0.0283,0.107,1,9
Claude,TSH,0.25,0.4225,0.4306,0.3631,0.1725,0.215,7,1
Claude,QOC,0.1319,0.3239,0.3239,0.2407,0.192,0.27,10,1
Gemini,SEN,0.0833,0.0845,0.0972,0.0848,0.0012,0.1318,2,4
Gemini,AUR,0.9167,0.8239,0.9167,0.8463,-0.0927,0.1777,1,4
Gemini,TD,0.7708,0.9155,0.9155,0.8763,0.1447,0.1676,10,1
Gemini,FIX,0.375,0.493,0.493,0.3965,0.118,0.2949,10,4
Gemini,RECT,0.4167,0.4507,0.4507,0.3853,0.034,0.3237,10,4
Gemini,EMP,0.6806,0.7113,0.7639,0.7177,0.0307,0.1922,4,1
Gemini,LMT,0.7986,0.8028,0.8028,0.7747,0.0042,0.2163,10,6
Gemini,MEN,1.0,1.0,1.0,0.9993,0.0,0.0177,1,8
Gemini,TSH,0.3958,0.4296,0.4722,0.4353,0.0337,0.1661,8,1
Gemini,QOC,0.5556,0.838,0.838,0.7407,0.2825,0.275,10,1
