model,metric,attribute,attribute_long,n_responses,mean,sd,sum,n_nonzero
Qwen,span_count,S,Sensitivity,100,0.38,1.1528,38,17
Qwen,span_count,AUR,Assumption of User Accuracy,100,0.56,0.9462,56,32
Qwen,span_count,TD,Tentativeness / Directness,100,2.95,4.1424,295,52
Qwen,span_count,FIX,Fix-It Tendency,100,1.33,2.4373,133,44
Qwen,span_count,RT,Recommendation Type,100,1.34,2.2257,134,42
Qwen,span_count,TN,Topic Shift,100,1.46,2.1575,146,43
Qwen,span_count,QOC,Open / Closed Questions,100,0.21,0.5911,21,14
Qwen,span_count,LM,Language Matching,100,0.59,1.2235,59,28
Qwen,span_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Qwen,span_count,EMP,Empathy & Matching,100,2.68,3.0875,268,70
Qwen,span_count,INC,Incoherence,100,0.08,0.2727,8,8
Llama,span_count,S,Sensitivity,100,0.17,0.5136,17,12
Llama,span_count,AUR,Assumption of User Accuracy,100,0.27,0.6333,27,19
Llama,span_count,TD,Tentativeness / Directness,100,2.3,3.3439,230,52
Llama,span_count,FIX,Fix-It Tendency,100,0.94,1.6319,94,40
Llama,span_count,RT,Recommendation Type,100,2.13,2.3253,213,61
Llama,span_count,TN,Topic Shift,100,0.74,1.4538,74,27
Llama,span_count,QOC,Open / Closed Questions,100,0.17,0.6675,17,9
Llama,span_count,LM,Language Matching,100,0.33,0.7792,33,20
Llama,span_count,ME,Minimal Encouragers,100,0.0,0.0,0,0
Llama,span_count,EMP,Empathy & Matching,100,2.79,3.3973,279,72
Llama,span_count,INC,Incoherence,100,0.02,0.1407,2,2
GPT,span_count,S,Sensitivity,100,0.21,0.5559,21,15
GPT,span_count,AUR,Assumption of User Accuracy,100,0.61,0.875,61,42
GPT,span_count,TD,Tentativeness / Directness,100,3.46,4.764,346,52
GPT,span_count,FIX,Fix-It Tendency,100,1.31,2.3855,131,42
GPT,span_count,RT,Recommendation Type,100,2.08,2.6234,208,58
GPT,span_count,TN,Topic Shift,100,1.28,2.2656,128,40
GPT,span_count,QOC,Open / Closed Questions,100,0.21,0.5183,21,16
GPT,span_count,LM,Language Matching,100,0.44,0.9777,44,24
GPT,span_count,ME,Minimal Encouragers,100,0.03,0.1714,3,3
GPT,span_count,EMP,Empathy & Matching,100,2.6,3.2193,260,68
GPT,span_count,INC,Incoherence,100,0.0,0.0,0,0
Claude,span_count,S,Sensitivity,100,0.31,0.8002,31,18
