model,dataset,u,r,rho,p,q,n,sig,scope
Qwen,HOPE,U1,SEN,0.44714141929533907,4.763880252003427e-19,1.1909700630008566e-17,359,True,per_dataset
Qwen,HOPE,U1,AUR,0.21714334269211716,3.331347619417749e-05,0.00016656738097088744,359,True,per_dataset
Qwen,HOPE,U1,TD,-0.20054030232700387,0.00013057271582553082,0.0005440529826063784,359,True,per_dataset
Qwen,HOPE,U1,FIX,0.19582254832559928,0.0001887790058265637,0.0007260730993329373,359,False,per_dataset
Qwen,HOPE,U1,RT,0.14184753910486522,0.007105086769043603,0.016916873259627624,359,False,per_dataset
Qwen,HOPE,U1,TN,-0.0031923941732598018,0.9519354657033086,0.9632489610597073,359,False,per_dataset
Qwen,HOPE,U1,QOC,-0.1276864700473247,0.015486708765228929,0.035197065375520295,359,False,per_dataset
Qwen,HOPE,U1,LM,0.24611099682475449,2.3623265896169636e-06,1.3124036608983132e-05,359,True,per_dataset
Qwen,HOPE,U1,ME,0.050395247039794665,0.34103171313895986,0.4772681679154221,359,False,per_dataset
Qwen,HOPE,U1,EMP,0.15979898735678436,0.002391543334606606,0.007473572920645644,359,False,per_dataset
Qwen,HOPE,U2,SEN,0.1828382491589576,0.0004984244073313883,0.0017800871690406724,359,False,per_dataset
Qwen,HOPE,U2,AUR,0.09902288705754478,0.06089163956921202,0.1278527623250112,359,False,per_dataset
Qwen,HOPE,U2,TD,-0.004487236181289244,0.9324800949563026,0.9632489610597073,359,False,per_dataset
Qwen,HOPE,U2,FIX,0.036796250801280905,0.487059444919441,0.624435185794155,359,False,per_dataset
Qwen,HOPE,U2,RT,0.0065314796198159995,0.901850854340709,0.9594158024901159,359,False,per_dataset
Qwen,HOPE,U2,TN,0.09422903654590344,0.07456542871544507,0.13315255127758047,359,False,per_dataset
Qwen,HOPE,U2,QOC,-0.05012472312437395,0.34363308089910394,0.4772681679154221,359,False,per_dataset
Qwen,HOPE,U2,LM,0.09696534244313873,0.06648343640900582,0.1278527623250112,359,False,per_dataset
Qwen,HOPE,U2,ME,-0.09746300124066218,0.06509373780498232,0.1278527623250112,359,False,per_dataset
Qwen,HOPE,U2,EMP,0.0704127950249913,0.18314559534091646,0.27767018223917633,359,False,per_dataset
Qwen,HOPE,U3,SEN,0.6846396854666188,5.715315805765584e-51,2.8576579028827922e-49,359,True,per_dataset
