model,turn,u,r,rho,p,q,n,sig,scope
Qwen,1,U1,SEN,0.3574841214358513,0.0020504610176360414,0.03417435029393402,72,True,per_turn
Qwen,1,U1,AUR,0.3715030997869794,0.0013137474368386448,0.03284368592096612,72,True,per_turn
Qwen,1,U1,TD,-0.11445119916421984,0.33841355968988085,0.6226697234433024,72,False,per_turn
Qwen,1,U1,FIX,0.1475807304502794,0.21603703629901147,0.5484863642305005,72,False,per_turn
Qwen,1,U1,RT,0.07476095248911038,0.5325358188336365,0.7428537454233558,72,False,per_turn
Qwen,1,U1,TN,0.142650430257704,0.23194274209912916,0.5484863642305005,72,False,per_turn
Qwen,1,U1,QOC,-0.12649997596758336,0.2896622776614363,0.5832573781138554,72,False,per_turn
Qwen,1,U1,LM,0.2392333592783984,0.04297765312023158,0.3503766780734407,72,False,per_turn
Qwen,1,U1,ME,0.19019711986058482,0.10953734817332861,0.4212974929743408,72,False,per_turn
Qwen,1,U1,EMP,0.20444025850055875,0.08495761976101263,0.4212974929743408,72,False,per_turn
Qwen,1,U2,SEN,0.06943553093975861,0.5622054987384095,0.7428537454233558,72,False,per_turn
Qwen,1,U2,AUR,0.14037411865287047,0.23955425595059576,0.5484863642305005,72,False,per_turn
Qwen,1,U2,TD,0.051267083364267864,0.6688814515112393,0.7864067771652511,72,False,per_turn
Qwen,1,U2,FIX,0.11595985818244518,0.33204212061132143,0.6226697234433024,72,False,per_turn
Qwen,1,U2,RT,0.09841559248616309,0.41081052487924163,0.6785636838583162,72,False,per_turn
Qwen,1,U2,TN,-0.1297606653264465,0.2773079919187252,0.5832573781138554,72,False,per_turn
Qwen,1,U2,QOC,-0.2393392754621941,0.04288275481444337,0.3503766780734407,72,False,per_turn
Qwen,1,U2,LM,0.1520020175297113,0.20244093887832215,0.5484863642305005,72,False,per_turn
Qwen,1,U2,ME,0.1645719328805419,0.16714403521076443,0.4916001035610718,72,False,per_turn
Qwen,1,U2,EMP,-0.06901719728099918,0.5645688465217504,0.7428537454233558,72,False,per_turn
Qwen,1,U3,SEN,0.8196885999705369,1.3243461222176802e-18,6.621730611088401e-17,72,True,per_turn
