model,u,r,rho,p,q,n,sig,scope
Qwen,U1,SEN,0.36878614292079664,1.39025615773706e-24,3.4756403943426503e-23,719,True,pooled
Qwen,U1,AUR,0.23188461821479778,3.1149607874309133e-10,2.224971991022081e-09,719,True,pooled
Qwen,U1,TD,-0.10359650169000006,0.005427423302962539,0.012922436435625094,719,False,pooled
Qwen,U1,FIX,0.2132938647142513,7.652356206843524e-09,4.782722629277202e-08,719,True,pooled
Qwen,U1,RT,0.18007771109693546,1.17375125204699e-06,4.514427892488423e-06,719,False,pooled
Qwen,U1,TN,0.11294329757959766,0.0024219853948675885,0.006054963487168971,719,False,pooled
Qwen,U1,QOC,-0.0674387759214243,0.07072695100695489,0.11051086094836701,719,False,pooled
Qwen,U1,LM,0.23250325699922186,2.7865753399274706e-10,2.224971991022081e-09,719,True,pooled
Qwen,U1,ME,0.05292037688712109,0.15632490359143586,0.22988956410505273,719,False,pooled
Qwen,U1,EMP,0.2701182029267677,1.7348816169359836e-13,2.1686020211699795e-12,719,True,pooled
Qwen,U2,SEN,0.07244773979929961,0.05216149079497267,0.08635262534352245,719,False,pooled
Qwen,U2,AUR,0.09484143328025446,0.010946330972926249,0.024878024938468746,719,False,pooled
Qwen,U2,TD,0.07693721774441901,0.03916240719278873,0.07252297628294209,719,False,pooled
Qwen,U2,FIX,-0.04057223133932268,0.27727312922107883,0.35547837079625494,719,False,pooled
Qwen,U2,RT,-0.015341829164538776,0.6813021316075936,0.7405457952256451,719,False,pooled
Qwen,U2,TN,0.0349197185973483,0.3497885761574583,0.4265714343383638,719,False,pooled
Qwen,U2,QOC,-0.08643754327716507,0.02044613992451344,0.04259612484273634,719,False,pooled
Qwen,U2,LM,0.14192108965181002,0.00013441889532653828,0.0003953496921368773,719,False,pooled
Qwen,U2,ME,-0.05740625341842408,0.12407515163147942,0.18799265398709003,719,False,pooled
Qwen,U2,EMP,0.07756524581905576,0.03758402060966077,0.0722769627108861,719,False,pooled
Qwen,U3,SEN,0.6865331131838287,2.5065040741215222e-101,1.253252037060761e-99,719,True,pooled
Qwen,U3,AUR,0.23877126690660283,8.852791431623013e-11,8.852791431623013e-10,719,True,pooled
Qwen,U3,TD,-0.043110221127138665,0.2482991309153101,0.33553936610177043,719,False,pooled
Qwen,U3,FIX,0.20289599864866653,4.060363025388856e-08,2.030181512694428e-07,719,True,pooled
Qwen,U3,RT,0.20709525145127428,2.0910693356486974e-08,1.1617051864714985e-07,719,True,pooled
Qwen,U3,TN,0.1914552179474739,2.3072840743699268e-07,1.0487654883499667e-06,719,False,pooled
Qwen,U3,QOC,-0.049842158607792134,0.1818826229714145,0.25983231853059213,719,False,pooled
Qwen,U3,LM,0.1454649333079326,9.056340268766307e-05,0.0002830106333989471,719,False,pooled
Qwen,U3,ME,0.014503817394200876,0.697829808818525,0.742372137040984,719,False,pooled
Qwen,U3,EMP,0.2861177871926572,5.166828003638778e-15,8.61138000606463e-14,719,True,pooled
Qwen,U4,SEN,0.029282802977817563,0.4330423589879525,0.5155266178428006,719,False,pooled
Qwen,U4,AUR,-0.07600163826331997,0.04161770696317006,0.07431733386280369,719,False,pooled
Qwen,U4,TD,0.12437766455449917,0.0008309675402704313,0.0021867566849221877,719,False,pooled
Qwen,U4,FIX,0.03836942985037967,0.3042166796408604,0.3802708495510755,719,False,pooled
Qwen,U4,RT,0.046399013878741624,0.21399466491756097,0.29721481238550135,719,False,pooled
Qwen,U4,TN,0.04137431534694943,0.2678780960174364,0.35247117897031105,719,False,pooled
Qwen,U4,QOC,-0.00028755736239640257,0.9938585853066454,0.9938585853066454,719,False,pooled
Qwen,U4,LM,-0.08470878874480611,0.023115022415298392,0.046230044830596784,719,False,pooled
Qwen,U4,ME,-0.024065871124525472,0.5193958141104902,0.600757411538834,719,False,pooled
Qwen,U4,EMP,-0.008599962628585431,0.8179333032596415,0.8346258196526954,719,False,pooled
Qwen,U5,SEN,0.16663828129584943,7.05782723057611e-06,2.5206525823486107e-05,719,False,pooled
Qwen,U5,AUR,0.18727383635602837,4.2441256676086346e-07,1.768385694836931e-06,719,False,pooled
Qwen,U5,TD,0.07202918381383488,0.05353862771298392,0.08635262534352245,719,False,pooled
Qwen,U5,FIX,-0.021480012401618013,0.5652689613802104,0.6280766237557894,719,False,pooled
Qwen,U5,RT,-0.02353432842364684,0.528666522154174,0.600757411538834,719,False,pooled
Qwen,U5,TN,0.07203221847729381,0.053528535047364156,0.08635262534352245,719,False,pooled
Qwen,U5,QOC,-0.008670722357626537,0.8164618168528633,0.8346258196526954,719,False,pooled
Qwen,U5,LM,0.14941603430938372,5.768256985645752e-05,0.00019227523285485839,719,False,pooled
Qwen,U5,ME,-0.08673571927716407,0.020014008085556197,0.04259612484273634,719,False,pooled
Qwen,U5,EMP,0.13544727141190424,0.0002701229646621221,0.0007503415685058946,719,False,pooled
Llama,U1,SEN,0.38484288124027916,8.490213464244533e-27,2.1225533660611335e-25,719,True,pooled
Llama,U1,AUR,0.1941521507524291,1.5461373522516293e-07,9.663358451572683e-07,719,False,pooled
Llama,U1,TD,-0.2339349169067694,2.1506852755606586e-10,3.584475459267764e-09,719,True,pooled
Llama,U1,FIX,0.12335600049958752,0.0009177384074745403,0.002699230610219236,719,False,pooled
Llama,U1,RT,0.12457037939838386,0.000815476912476558,0.0025863577518699197,719,False,pooled
Llama,U1,TN,0.07618002306988643,0.04113977423637354,0.07445512961385495,719,False,pooled
Llama,U1,QOC,-0.05248107026341348,0.15979629707116225,0.23499455451641507,719,False,pooled
Llama,U1,LM,0.14373238139626296,0.00010997575531474002,0.0005254880440872179,719,False,pooled
Llama,U1,ME,-0.05503792177994433,0.14038836121385043,0.21270963820280367,719,False,pooled
Llama,U1,EMP,0.04503701496493002,0.22776301811517846,0.30778786231780875,719,False,pooled
Llama,U2,SEN,0.13401300372465658,0.0003140061609577704,0.0012077160036837323,719,False,pooled
Llama,U2,AUR,0.03849106454206997,0.3026851169284872,0.3880578422160092,719,False,pooled
Llama,U2,TD,0.0276260736071807,0.45952898195480585,0.5604011975058608,719,False,pooled
Llama,U2,FIX,0.13821172037382085,0.00020125159883566918,0.0008385483284819549,719,False,pooled
Llama,U2,RT,0.20740275084587717,1.9907896590825146e-08,1.658991382568762e-07,719,True,pooled
