dataset,reviewer,prompt_id,model,n_SEN,tok_SEN,word_SEN,n_AUR,tok_AUR,word_AUR,n_TEN,tok_TEN,word_TEN,n_DIR,tok_DIR,word_DIR,n_FIX,tok_FIX,word_FIX,n_RECT,tok_RECT,word_RECT,n_TSH,tok_TSH,word_TSH,n_QOP,tok_QOP,word_QOP,n_QCL,tok_QCL,word_QCL,n_LMT,tok_LMT,word_LMT,n_MEN,tok_MEN,word_MEN,n_VIN,tok_VIN,word_VIN,n_NIN,tok_NIN,word_NIN,n_ASIN,tok_ASIN,word_ASIN,n_SIN,tok_SIN,word_SIN,n_VAC,tok_VAC,word_VAC,n_NAC,tok_NAC,word_NAC,n_ASAC,tok_ASAC,word_ASAC,n_SAC,tok_SAC,word_SAC,n_INC,tok_INC,word_INC
CounselChat,gold_standard,1,Qwen,0,0,0,0,0,0,0,0,0,3,85,68,1,22,16,6,114,95,4,72,59,0,0,0,0,0,0,0,0,0,0,0,0,2,68,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,gold_standard,2,Qwen,0,0,0,0,0,0,0,0,0,4,93,67,2,43,32,9,187,143,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,68,53,1,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R4,3,Qwen,0,0,0,3,56,53,2,72,61,7,152,129,1,28,23,8,161,113,3,107,84,0,0,0,0,0,0,1,22,21,0,0,0,1,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R4,4,Qwen,0,0,0,3,73,64,3,100,74,5,120,103,2,70,55,1,35,27,4,118,98,0,0,0,0,0,0,0,0,0,0,0,0,2,52,45,1,21,19,1,35,27,0,0,0,1,32,27,0,0,0,0,0,0,1,31,27,0,0,0
CounselChat,R4,5,Qwen,0,0,0,2,34,27,1,21,16,4,100,81,2,56,46,8,132,99,4,93,68,0,0,0,2,22,15,0,0,0,0,0,0,1,24,20,1,40,34,0,0,0,0,0,0,0,0,0,0,0,0,1,16,12,0,0,0,1,4,2
CounselChat,R4,6,Qwen,0,0,0,2,53,47,3,104,83,8,144,106,1,39,37,0,0,0,4,121,89,0,0,0,0,0,0,0,0,0,0,0,0,1,43,38,1,54,48,0,0,0,1,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R4,7,Qwen,0,0,0,2,46,39,6,200,153,3,90,67,1,28,23,0,0,0,4,132,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,15,1,2,1
CounselChat,R4,8,Qwen,0,0,0,2,34,30,1,32,24,6,186,154,1,21,18,1,20,17,4,90,72,0,0,0,0,0,0,0,0,0,0,0,0,2,57,47,0,0,0,0,0,0,1,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R4,9,Qwen,0,0,0,2,66,59,1,19,17,9,206,164,1,19,16,0,0,0,6,152,115,0,0,0,0,0,0,0,0,0,0,0,0,3,88,80,1,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2
CounselChat,R4,10,Qwen,0,0,0,2,49,46,0,0,0,3,70,64,1,59,49,3,104,78,3,118,96,0,0,0,0,0,0,0,0,0,0,0,0,5,151,127,0,0,0,0,0,0,4,71,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R2,19,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,77,66,0,0,0,1,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R2,20,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,33,0,0,0
CounselChat,R2,21,Qwen,2,65,42,0,0,0,0,0,0,0,0,0,0,0,0,2,62,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,50,44,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R2,22,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,87,55,0,0,0,0,0,0,0,0,0,2,65,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,44,0,0,0
CounselChat,R2,23,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,38,0,0,0,0,0,0,0,0,0,0,0,0,1,13,12,0,0,0,0,0,0,0,0,0,2,53,45,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R2,24,Qwen,0,0,0,1,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73,62,0,0,0,0,0,0,1,35,29,0,0,0
CounselChat,R2,25,Qwen,0,0,0,3,67,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,25,0,0,0,2,55,44,0,0,0,0,0,0,0,0,0,1,14,12,0,0,0,0,0,0,1,19,17,0,0,0
CounselChat,R2,26,Qwen,1,23,20,2,48,39,0,0,0,0,0,0,0,0,0,3,88,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,26,0,0,0,0,0,0,1,28,26,0,0,0
CounselChat,R5,11,Qwen,0,0,0,0,0,0,0,0,0,1,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R5,12,Qwen,0,0,0,0,0,0,0,0,0,1,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R5,13,Qwen,0,0,0,0,0,0,0,0,0,1,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R5,14,Qwen,0,0,0,0,0,0,0,0,0,1,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R5,15,Qwen,0,0,0,0,0,0,0,0,0,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R5,16,Qwen,0,0,0,0,0,0,0,0,0,1,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R5,17,Qwen,0,0,0,0,0,0,0,0,0,1,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R5,18,Qwen,0,0,0,0,0,0,0,0,0,1,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R6,35,Qwen,1,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R6,36,Qwen,2,29,20,1,49,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,15,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R6,37,Qwen,3,67,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R6,38,Qwen,9,167,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R6,39,Qwen,2,64,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R6,40,Qwen,3,90,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R6,41,Qwen,2,72,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R6,42,Qwen,1,42,39,1,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R1,27,Qwen,0,0,0,1,18,15,0,0,0,0,0,0,1,21,18,2,37,26,2,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,20,0,0,0,0,0,0,0,0,0,1,14,13,0,0,0
CounselChat,R1,28,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,1,39,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R1,29,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,1,23,20,0,0,0,1,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R1,30,Qwen,0,0,0,1,36,29,0,0,0,0,0,0,1,53,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,82,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R1,31,Qwen,0,0,0,1,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,73,55,0,0,0,0,0,0,0,0,0,0,0,0,2,60,55,0,0,0,0,0,0,0,0,0,0,0,0,1,42,29
CounselChat,R1,32,Qwen,0,0,0,1,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R1,33,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,1,38,33,0,0,0,0,0,0,0,0,0,0,0,0,1,23,15,0,0,0,0,0,0,0,0,0,0,0,0,3,68,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R1,34,Qwen,0,0,0,0,0,0,0,0,0,0,0,0,1,31,25,1,18,11,2,57,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R3,43,Qwen,0,0,0,0,0,0,0,0,0,11,303,245,4,103,78,0,0,0,3,78,63,0,0,0,0,0,0,4,84,64,0,0,0,6,180,153,0,0,0,0,0,0,0,0,0,2,31,28,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R3,44,Qwen,0,0,0,0,0,0,0,0,0,10,258,209,7,187,146,0,0,0,2,49,45,0,0,0,0,0,0,1,28,24,0,0,0,0,0,0,0,0,0,4,113,94,2,42,34,3,64,57,1,25,23,0,0,0,2,53,45,0,0,0
CounselChat,R3,45,Qwen,1,54,42,0,0,0,0,0,0,8,201,168,4,96,73,0,0,0,3,99,76,0,0,0,0,0,0,2,86,72,0,0,0,3,106,88,0,0,0,0,0,0,4,113,82,1,13,12,0,0,0,0,0,0,5,147,113,0,0,0
CounselChat,R3,46,Qwen,0,0,0,0,0,0,1,23,17,12,266,211,9,245,191,5,97,72,4,79,66,0,0,0,0,0,0,2,49,33,0,0,0,9,198,152,1,30,25,0,0,0,1,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R3,47,Qwen,0,0,0,0,0,0,1,25,21,10,370,279,3,160,116,2,60,49,5,193,152,0,0,0,0,0,0,4,233,172,0,0,0,4,111,91,1,26,21,0,0,0,2,150,110,1,24,21,0,0,0,0,0,0,0,0,0,1,33,29
CounselChat,R3,48,Qwen,0,0,0,0,0,0,0,0,0,12,277,217,8,186,147,0,0,0,8,210,166,0,0,0,0,0,0,1,35,25,0,0,0,4,124,101,3,69,53,0,0,0,0,0,0,1,16,12,0,0,0,0,0,0,0,0,0,0,0,0
CounselChat,R3,49,Qwen,2,61,40,0,0,0,2,65,45,6,167,128,10,254,191,5,149,104,2,49,41,0,0,0,0,0,0,4,140,108,0,0,0,0,0,0,0,0,0,0,0,0,2,63,51,2,34,31,0,0,0,0,0,0,1,33,24,0,0,0
CounselChat,R3,50,Qwen,0,0,0,0,0,0,0,0,0,7,240,205,5,159,134,2,62,49,3,78,70,0,0,0,0,0,0,5,156,131,0,0,0,8,224,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,gold_standard,1,Qwen,0,0,0,0,0,0,0,0,0,6,86,68,2,29,24,8,186,145,4,83,69,0,0,0,0,0,0,0,0,0,0,0,0,4,83,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,gold_standard,2,Qwen,0,0,0,0,0,0,0,0,0,4,47,37,2,49,39,9,215,152,1,55,38,0,0,0,0,0,0,0,0,0,0,0,0,2,49,40,1,56,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAIR,R4,27,Qwen,0,0,0,1,37,33,1,10,9,8,195,158,1,18,15,6,119,85,7,140,104,0,0,0,0,0,0,0,0,0,0,0,0,2,62,56,0,0,0,0,0,0,2,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
