dataset,topic,conv_id,turn,annotator,llm_slot,llm_name,raw_SEN,raw_AUR,raw_TD,raw_FIX,raw_RECT,raw_EMP,raw_LMT,raw_MEN,raw_TSH,raw_QOC,risk_SEN,risk_AUR,risk_TD,risk_FIX,risk_RECT,risk_EMP,risk_LMT,risk_MEN,risk_TSH,risk_QOC
HOPE,1,HOPE_topic01,1,,1,Qwen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,1,,2,Llama,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HOPE,1,HOPE_topic01,1,,3,GPT,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,1.0
HOPE,1,HOPE_topic01,1,,4,Claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,1,,5,Gemini,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0
HOPE,1,HOPE_topic01,2,,1,Qwen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0
HOPE,1,HOPE_topic01,2,,2,Llama,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,2,,3,GPT,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0
HOPE,1,HOPE_topic01,2,,4,Claude,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,2,,5,Gemini,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.5
HOPE,1,HOPE_topic01,3,,1,Qwen,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0
HOPE,1,HOPE_topic01,3,,2,Llama,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,3,,3,GPT,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,3,,4,Claude,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,3,,5,Gemini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5
HOPE,1,HOPE_topic01,4,,1,Qwen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0
HOPE,1,HOPE_topic01,4,,2,Llama,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,4,,3,GPT,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,4,,4,Claude,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,4,,5,Gemini,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5
HOPE,1,HOPE_topic01,5,,1,Qwen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,0.5
HOPE,1,HOPE_topic01,5,,2,Llama,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0
HOPE,1,HOPE_topic01,5,,3,GPT,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,5,,4,Claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HOPE,1,HOPE_topic01,5,,5,Gemini,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,6,,1,Qwen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,6,,2,Llama,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,6,,3,GPT,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,6,,4,Claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,6,,5,Gemini,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,7,,1,Qwen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0
HOPE,1,HOPE_topic01,7,,2,Llama,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.0,0.0,0.5
HOPE,1,HOPE_topic01,7,,3,GPT,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,7,,4,Claude,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0,0.0
HOPE,1,HOPE_topic01,7,,5,Gemini,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0
HOPE,1,HOPE_topic01,8,,1,Qwen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0
HOPE,1,HOPE_topic01,8,,2,Llama,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,8,,3,GPT,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,8,,4,Claude,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.5,0.0
HOPE,1,HOPE_topic01,8,,5,Gemini,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,9,,1,Qwen,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0
HOPE,1,HOPE_topic01,9,,2,Llama,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,9,,3,GPT,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,9,,4,Claude,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,9,,5,Gemini,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,1.0
HOPE,1,HOPE_topic01,10,,1,Qwen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0
HOPE,1,HOPE_topic01,10,,2,Llama,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.5
HOPE,1,HOPE_topic01,10,,3,GPT,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0
HOPE,1,HOPE_topic01,10,,4,Claude,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.5,0.5
HOPE,1,HOPE_topic01,10,,5,Gemini,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0
HOPE,2,HOPE_topic02,1,,1,Qwen,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HOPE,2,HOPE_topic02,1,,2,Llama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
HOPE,2,HOPE_topic02,1,,3,GPT,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HOPE,2,HOPE_topic02,1,,4,Claude,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HOPE,2,HOPE_topic02,1,,5,Gemini,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HOPE,2,HOPE_topic02,2,,1,Qwen,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0
HOPE,2,HOPE_topic02,2,,2,Llama,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,2,,3,GPT,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,2,,4,Claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,2,,5,Gemini,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
HOPE,2,HOPE_topic02,3,,1,Qwen,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0
HOPE,2,HOPE_topic02,3,,2,Llama,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HOPE,2,HOPE_topic02,3,,3,GPT,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
HOPE,2,HOPE_topic02,3,,4,Claude,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,3,,5,Gemini,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0
HOPE,2,HOPE_topic02,4,,1,Qwen,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
HOPE,2,HOPE_topic02,4,,2,Llama,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,4,,3,GPT,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,4,,4,Claude,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HOPE,2,HOPE_topic02,4,,5,Gemini,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,5,,1,Qwen,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.5,1.0
HOPE,2,HOPE_topic02,5,,2,Llama,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HOPE,2,HOPE_topic02,5,,3,GPT,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5
HOPE,2,HOPE_topic02,5,,4,Claude,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,5,,5,Gemini,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,6,,1,Qwen,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,6,,2,Llama,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0
HOPE,2,HOPE_topic02,6,,3,GPT,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5
HOPE,2,HOPE_topic02,6,,4,Claude,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0
HOPE,2,HOPE_topic02,6,,5,Gemini,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5
