model,U,R,n,rho,p,q,sig
GPT,U1,SEN,100,0.20581882005218946,0.039940701742487365,0.1536180836249514,False
GPT,U1,AUR,100,0.012530288047289843,0.9015271926041366,0.9199257067389149,False
GPT,U1,TD,100,-0.02562691829477767,0.8001995909829756,0.8512761606201869,False
GPT,U1,FIX,100,0.08899285492967514,0.37859464812522614,0.5116143893584137,False
GPT,U1,RT,84,0.058252120386228644,0.5986540365281852,0.6961093448002152,False
GPT,U1,TN,100,-0.10264604135357414,0.3095139159373538,0.46896047869296026,False
GPT,U1,QOC,100,-0.026917469136858514,0.7903634651017243,0.8512761606201869,False
GPT,U1,LM,100,0.3231070663795883,0.0010422663681411326,0.013028329601764158,True
GPT,U1,ME,100,-0.10863338212886166,0.2819882667166197,0.44060666674471827,False
GPT,U1,EMP,100,0.13681998229525036,0.17465702539664266,0.3234389359197087,False
GPT,U2,SEN,100,0.2394451302019914,0.016423701645945792,0.09438376577808191,False
GPT,U2,AUR,100,0.14395567781256688,0.1530294415147332,0.3060588830294664,False
GPT,U2,TD,100,0.17460023786559514,0.08231251878800296,0.19683585718331698,False
GPT,U2,FIX,100,0.1798601377267544,0.0733540910899316,0.19683585718331698,False
GPT,U2,RT,84,0.1941464510009531,0.0767939913930871,0.19683585718331698,False
GPT,U2,TN,100,0.22019527353228652,0.0277103523048618,0.1259561468402809,False
GPT,U2,QOC,100,0.18252669871869578,0.06912217346819122,0.19683585718331698,False
GPT,U2,LM,100,0.15733952549993724,0.1179660038080936,0.26810455410930367,False
GPT,U2,ME,100,-0.09814898837450238,0.3313002210288072,0.4732860300411531,False
GPT,U2,EMP,100,0.11029645767460072,0.274642129961477,0.44060666674471827,False
GPT,U3,SEN,100,0.6098682804484074,1.6406230732855097e-11,8.203115366427549e-10,True
GPT,U3,AUR,100,0.03228193767912871,0.7498449213152176,0.8331610236835751,False
GPT,U3,TD,100,0.17439945444684565,0.08267106001699312,0.19683585718331698,False
GPT,U3,FIX,100,0.17996995390915832,0.07317578276988339,0.19683585718331698,False
GPT,U3,RT,84,-0.07362550515406213,0.5056782233489923,0.6019978849392765,False
GPT,U3,TN,100,0.20888776156115418,0.03700736158165329,0.1536180836249514,False
GPT,U3,QOC,100,0.27789697264918023,0.00511984042277364,0.042665336856447,True
GPT,U3,LM,100,0.3789923091599929,0.00010091910714220365,0.0025229776785550915,True
GPT,U3,ME,100,-0.09575429465711947,0.3432902885167336,0.4767920673843522,False
GPT,U3,EMP,100,0.33981501035534106,0.0005422696661968275,0.009037827769947125,True
GPT,U4,SEN,100,0.08316847989130755,0.4107042058414766,0.5346717746825038,False
GPT,U4,AUR,100,0.009331361283626988,0.9265848828834025,0.9265848828834025,False
GPT,U4,TD,100,0.19638608176993516,0.050196620163929076,0.17927364344260385,False
GPT,U4,FIX,100,0.05000991178520986,0.6212207300169488,0.7059326477465327,False
GPT,U4,RT,84,-0.255739079493506,0.018876753155616384,0.09438376577808191,False
GPT,U4,TN,100,0.017251638983558852,0.8647269541826751,0.9007572439402866,False
GPT,U4,QOC,100,0.23512302844792277,0.01853352455505034,0.09438376577808191,False
GPT,U4,LM,100,0.10028782578471229,0.3208195221275626,0.47179341489347437,False
GPT,U4,ME,100,-0.07142857142857142,0.4800586977628236,0.5854374362961263,False
GPT,U4,EMP,100,0.08205064316650076,0.417043984252353,0.5346717746825038,False
GPT,U5,SEN,100,0.23852774569620624,0.016853271162737275,0.09438376577808191,False
GPT,U5,AUR,100,0.15498277011720984,0.12364291007376467,0.2687889349429667,False
GPT,U5,TD,100,0.11861639727696414,0.23983237823874243,0.39972063039790406,False
GPT,U5,FIX,100,0.31233923019810234,0.0015579477801405733,0.015579477801405733,True
GPT,U5,RT,84,0.1524598358518978,0.16620885867547106,0.31963242052975205,False
GPT,U5,TN,100,0.07529232524210426,0.45656506990337264,0.5707063373792158,False
GPT,U5,QOC,100,0.13414773497948473,0.1833092318119714,0.3255747618704456,False
GPT,U5,LM,100,0.15254534891191604,0.12973261128199987,0.2702762735041664,False
GPT,U5,ME,100,-0.13248943335756677,0.18883336188485844,0.3255747618704456,False
GPT,U5,EMP,100,0.17546819879414038,0.08077684980559564,0.19683585718331698,False
Claude,U1,SEN,100,0.26066663673535184,0.00880995804429203,0.05459300317369096,False
Claude,U1,AUR,100,0.02099444399381745,0.835753899395281,0.902544563638281,False
Claude,U1,TD,100,-0.08064403006449393,0.42510172244422795,0.6815019681222031,False
Claude,U1,FIX,100,0.05934606236707452,0.5575283692385904,0.7413286316563703,False
Claude,U1,RT,98,-0.015130252823046322,0.8824465324692672,0.9157928626292303,False
Claude,U1,TN,100,0.04677131788788872,0.6440197330209844,0.7853899183182736,False
Claude,U1,QOC,100,0.03590800786889822,0.7228293583693535,0.840499253917853,False
Claude,U1,LM,100,0.32754237775605766,0.0008794204687289913,0.011144942257843947,True
Claude,U1,ME,100,-0.013048419987589028,0.8974770053766457,0.9157928626292303,False
Claude,U1,EMP,100,0.10457537123186221,0.3004596134036421,0.5498486968028851,False
Claude,U2,SEN,100,0.2805982042487769,0.004687668333143778,0.03906390277619815,True
Claude,U2,AUR,100,0.05390032043315714,0.5943007939810278,0.7619240948474715,False
Claude,U2,TD,100,0.22940853104905967,0.021678508365938598,0.08337887833053306,False
