model,u,r,rho,p,q,n
Gemini,U3,SEN,0.763071163880568,4.778536710756556e-138,2.389268355378278e-136,719
GPT,U3,SEN,0.725002971879477,3.1724470224322605e-118,1.5862235112161302e-116,719
Qwen,U3,SEN,0.6865331131838287,2.5065040741215222e-101,1.253252037060761e-99,719
Llama,U3,SEN,0.6768119531458823,1.8205989431773754e-97,9.102994715886877e-96,719
Claude,U3,SEN,0.46536789299233416,6.3633629552232905e-40,3.181681477611645e-38,719
Gemini,U1,SEN,0.4000190028960899,5.249761517044166e-29,1.3124403792610414e-27,719
Llama,U1,SEN,0.38484288124027916,8.490213464244533e-27,2.1225533660611335e-25,719
Qwen,U1,SEN,0.36878614292079664,1.39025615773706e-24,3.4756403943426503e-23,719
GPT,U1,SEN,0.3663436089026285,2.945482187562154e-24,7.363705468905385e-23,719
Claude,U1,SEN,0.35504585712032016,8.734690327456535e-23,2.1836725818641336e-21,719
Gemini,U3,EMP,0.34087461840794764,5.077560333558383e-21,8.462600555930637e-20,719
Gemini,U1,EMP,0.31823004124369725,2.1983812187260744e-18,2.747976523407593e-17,719
Gemini,U3,AUR,0.30482433965574696,6.317989193611728e-17,6.317989193611727e-16,719
GPT,U3,EMP,0.29225669033814033,1.2619043617648902e-15,2.103173936274817e-14,719
Qwen,U3,EMP,0.2861177871926572,5.166828003638778e-15,8.61138000606463e-14,719
GPT,U1,EMP,0.28030562329577136,1.9016151938368603e-14,2.3770189922960755e-13,719
Gemini,U1,AUR,0.2770077465139667,3.929548861719253e-14,3.2746240514327104e-13,719
Qwen,U1,EMP,0.2701182029267677,1.7348816169359836e-13,2.1686020211699795e-12,719
Gemini,U1,LM,0.26813115721214104,2.641709166241824e-13,1.88693511874416e-12,719
Claude,U1,AUR,0.26483633892357966,5.264611027381059e-13,8.774351712301766e-12,719
Gemini,U3,FIX,0.2616265183879108,1.0213067393758327e-12,6.383167121098955e-12,719
Claude,U1,RT,0.2603947448832396,1.3138977591153187e-12,1.6423721988941484e-11,719
Claude,U3,EMP,0.2538002519492774,4.949760266773798e-12,4.813121983229748e-11,719
Claude,U1,EMP,0.2530206356984193,5.775746379875698e-12,4.813121983229748e-11,719
Gemini,U3,RT,0.24860483140470424,1.370806953503654e-11,7.61559418613141e-11,719
GPT,U1,AUR,0.2413440674567173,5.477053571192426e-11,5.477053571192426e-10,719
Qwen,U3,AUR,0.23877126690660283,8.852791431623013e-11,8.852791431623013e-10,719
Llama,U1,TD,-0.2339349169067694,2.1506852755606586e-10,3.584475459267764e-09,719
Qwen,U1,LM,0.23250325699922186,2.7865753399274706e-10,2.224971991022081e-09,719
Qwen,U1,AUR,0.23188461821479778,3.1149607874309133e-10,2.224971991022081e-09,719
Claude,U1,FIX,0.22976264431795893,4.5536654956699404e-10,3.2526182111928147e-09,719
GPT,U3,FIX,0.22719090784072704,7.178954009861808e-10,5.9824616748848405e-09,719
Gemini,U3,TN,0.22693945848176686,7.503507684476337e-10,3.7517538422381685e-09,719
GPT,U3,RT,0.2235744224941903,1.349227489773111e-09,9.637339212665078e-09,719
Gemini,U1,FIX,0.22171755278404995,1.85770700279842e-09,8.444122739992818e-09,719
GPT,U1,RT,0.2216416305582714,1.8820456261303303e-09,1.1762785163314565e-08,719
Gemini,U1,RT,0.2201024657425472,2.447891728151523e-09,1.0199548867298012e-08,719
GPT,U3,AUR,0.22001759535642457,2.4834923501414727e-09,1.3797179723008181e-08,719
GPT,U1,LM,0.21634078652160266,4.61622850201506e-09,2.30811425100753e-08,719
Llama,U5,SEN,0.21607480682268634,4.825903923381825e-09,6.032379904227281e-08,719
Gemini,U5,LM,0.21424354260097306,6.542239829782057e-09,2.5162460883777142e-08,719
Qwen,U1,FIX,0.2132938647142513,7.652356206843524e-09,4.782722629277202e-08,719
Claude,U1,LM,0.21195238345366815,9.536962980010793e-09,5.960601862506746e-08,719
Llama,U5,RT,0.21107094347195862,1.1012699677603143e-08,1.1012699677603143e-07,719
Llama,U2,RT,0.20740275084587717,1.9907896590825146e-08,1.658991382568762e-07,719
Qwen,U3,RT,0.20709525145127428,2.0910693356486974e-08,1.1617051864714985e-07,719
Gemini,U2,LM,0.20371343930069155,3.5722344621497115e-08,1.2757980221963255e-07,719
GPT,U5,SEN,0.20336877136267598,3.770698640465968e-08,1.7139539274845308e-07,719
Qwen,U3,FIX,0.20289599864866653,4.060363025388856e-08,2.030181512694428e-07,719
Gemini,U5,SEN,0.20213635084476694,4.571420415976957e-08,1.5238068053256524e-07,719
