metric,model,attribute,pole_a,pole_b,mean_a,mean_b,ratio_a_over_b,share_a,n_responses_with_any
span_count,Qwen,TD,TEN (tentative),DIR (directive),0.52,2.43,0.214,0.1763,52
span_count,Qwen,QOC,QOP (open),QCL (closed),0.07,0.14,0.5,0.3333,14
span_count,Qwen,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),0.74,1.94,0.3814,0.2761,70
span_count,Llama,TD,TEN (tentative),DIR (directive),1.39,0.91,1.5275,0.6043,52
span_count,Llama,QOC,QOP (open),QCL (closed),0.12,0.05,2.4,0.7059,9
span_count,Llama,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),1.98,0.81,2.4444,0.7097,72
span_count,GPT,TD,TEN (tentative),DIR (directive),0.67,2.79,0.2401,0.1936,52
span_count,GPT,QOC,QOP (open),QCL (closed),0.07,0.14,0.5,0.3333,16
span_count,GPT,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),0.83,1.77,0.4689,0.3192,68
span_count,Claude,TD,TEN (tentative),DIR (directive),0.75,2.47,0.3036,0.2329,52
span_count,Claude,QOC,QOP (open),QCL (closed),0.86,0.65,1.3231,0.5695,72
span_count,Claude,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),1.01,1.65,0.6121,0.3797,72
span_count,Gemini,TD,TEN (tentative),DIR (directive),0.49,2.58,0.1899,0.1596,52
span_count,Gemini,QOC,QOP (open),QCL (closed),0.04,0.07,0.5714,0.3636,8
span_count,Gemini,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),0.59,1.82,0.3242,0.2448,68
token_count,Qwen,TD,TEN (tentative),DIR (directive),14.35,60.09,0.2388,0.1928,52
token_count,Qwen,QOC,QOP (open),QCL (closed),1.97,2.37,0.8312,0.4539,14
token_count,Qwen,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),16.86,52.63,0.3203,0.2426,70
token_count,Llama,TD,TEN (tentative),DIR (directive),29.84,18.91,1.578,0.6121,52
token_count,Llama,QOC,QOP (open),QCL (closed),1.62,0.98,1.6531,0.6231,9
token_count,Llama,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),41.45,16.84,2.4614,0.7111,72
token_count,GPT,TD,TEN (tentative),DIR (directive),17.03,54.09,0.3148,0.2395,52
token_count,GPT,QOC,QOP (open),QCL (closed),1.42,3.11,0.4566,0.3135,16
token_count,GPT,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),16.38,37.82,0.4331,0.3022,68
token_count,Claude,TD,TEN (tentative),DIR (directive),11.87,36.88,0.3219,0.2435,52
token_count,Claude,QOC,QOP (open),QCL (closed),11.61,10.85,1.07,0.5169,72
token_count,Claude,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),16.19,30.42,0.5322,0.3474,72
token_count,Gemini,TD,TEN (tentative),DIR (directive),12.22,62.42,0.1958,0.1637,52
token_count,Gemini,QOC,QOP (open),QCL (closed),0.85,1.77,0.4802,0.3244,8
token_count,Gemini,EMP,accurate (VAC+NAC+ASAC+SAC),inaccurate (VIN+NIN+ASIN+SIN),14.16,49.58,0.2856,0.2222,68
