conv_id,dataset,topic,annotator,n_turns,UIRI_open,UIRI_peak,UIRI_mean,UIRI_delta,UIRI_sd,U1_typicality_open,U1_typicality_peak,U1_typicality_mean,U1_typicality_delta,U1_typicality_sd,U2_evocative_open,U2_evocative_peak,U2_evocative_mean,U2_evocative_delta,U2_evocative_sd,U3_sensitivity_open,U3_sensitivity_peak,U3_sensitivity_mean,U3_sensitivity_delta,U3_sensitivity_sd,U4_fix_seeking_open,U4_fix_seeking_peak,U4_fix_seeking_mean,U4_fix_seeking_delta,U4_fix_seeking_sd,U5_underlying_open,U5_underlying_peak,U5_underlying_mean,U5_underlying_delta,U5_underlying_sd
CareBench_topic01,CareBench,1,,10,0.4,0.6,0.43999999999999995,0.09999999999999998,0.09660917830792959,0.5,1.0,0.4,0.0,0.31622776601683794,0.5,1.0,0.7,0.5,0.25819888974716115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.31622776601683794,1.0,1.0,1.0,0.0,0.0
CareBench_topic02,CareBench,2,,10,0.3,0.6,0.41,0.0,0.11005049346146119,0.5,1.0,0.35,-0.5,0.3374742788552764,0.0,1.0,0.7,0.5,0.34960294939005054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
CareBench_topic03,CareBench,3,,10,0.7,0.7,0.32999999999999996,-0.7,0.1766981104093143,0.5,0.5,0.1,-0.5,0.21081851067789198,1.0,1.0,0.55,-1.0,0.3689323936863109,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,-1.0,0.31622776601683794,1.0,1.0,0.9,-1.0,0.31622776601683794
CareBench_topic04,CareBench,4,,10,0.3,0.5,0.26000000000000006,-0.19999999999999998,0.1505545305418162,0.0,0.5,0.15,0.0,0.24152294576982397,0.5,1.0,0.35,-0.5,0.3374742788552764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,-0.5,0.25819888974716115
CareBench_topic05,CareBench,5,,10,0.5,0.5,0.35,-0.2,0.14337208778404378,0.5,0.5,0.25,-0.5,0.26352313834736496,1.0,1.0,0.65,-0.5,0.3374742788552764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.85,0.0,0.3374742788552764
CareBench_topic06,CareBench,6,,10,0.5,0.6,0.33,-0.5,0.22135943621178655,0.5,0.5,0.2,-0.5,0.25819888974716115,1.0,1.0,0.5,-1.0,0.408248290463863,0.0,1.0,0.1,0.0,0.31622776601683794,0.0,1.0,0.1,0.0,0.31622776601683794,1.0,1.0,0.75,-1.0,0.42491829279939874
CareBench_topic07,CareBench,7,,10,0.5,0.8,0.45,-0.2,0.1715938356831167,0.5,1.0,0.6,0.0,0.31622776601683794,0.5,1.0,0.6,0.0,0.31622776601683794,0.0,1.0,0.1,0.0,0.31622776601683794,1.0,1.0,0.1,-1.0,0.31622776601683794,0.5,1.0,0.85,0.0,0.24152294576982397
CareBench_topic08,CareBench,8,,10,0.4,0.5,0.33,-0.10000000000000003,0.13374935098492588,0.5,0.5,0.3,0.0,0.25819888974716115,0.5,1.0,0.55,0.0,0.2838231060987733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,-0.5,0.25819888974716115
CareBench_topic09,CareBench,9,,10,0.6,0.7,0.4,-0.19999999999999996,0.1632993161855452,1.0,1.0,0.75,-0.5,0.26352313834736496,1.0,1.0,0.35,-0.5,0.3374742788552764,0.0,1.0,0.1,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.0,0.25819888974716115
CareBench_topic10,CareBench,10,,10,0.3,0.6,0.45,0.10000000000000003,0.10801234497346433,0.5,1.0,0.65,0.0,0.24152294576982397,0.0,1.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.31622776601683794,1.0,1.0,1.0,0.0,0.0
CareBench_topic11,CareBench,11,,10,0.8,0.8,0.5000000000000001,-0.4,0.1414213562373095,1.0,1.0,0.65,-0.5,0.3374742788552764,1.0,1.0,0.75,-0.5,0.26352313834736496,1.0,1.0,0.1,-1.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
CareBench_topic12,CareBench,12,,10,0.5,0.6,0.5199999999999999,0.0,0.06324555320336757,0.5,1.0,0.8,0.5,0.25819888974716115,1.0,1.0,0.8,-0.5,0.25819888974716115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
CareBench_topic13,CareBench,13,,10,0.4,0.5,0.28,-0.2,0.10327955589886445,0.0,0.5,0.35,0.5,0.24152294576982397,1.0,1.0,0.4,-1.0,0.39440531887330776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.65,-0.5,0.3374742788552764
CareBench_topic14,CareBench,14,,10,0.3,0.4,0.25,0.10000000000000003,0.097182531580755,0.5,0.5,0.25,-0.5,0.26352313834736496,0.5,1.0,0.4,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.42163702135578396,0.5,1.0,0.4,0.0,0.31622776601683794
CareBench_topic15,CareBench,15,,10,0.4,0.5,0.25999999999999995,-0.10000000000000003,0.11737877907772672,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,-0.5,0.23570226039551584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.31622776601683794,1.0,1.0,0.7,0.0,0.34960294939005054
CareBench_topic16,CareBench,16,,10,0.5,0.5,0.21000000000000005,-0.5,0.17919573407620817,0.5,0.5,0.25,-0.5,0.26352313834736496,1.0,1.0,0.4,-1.0,0.45946829173634074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,-1.0,0.45946829173634074
CareBench_topic17,CareBench,17,,10,0.4,0.5,0.28,-0.2,0.11352924243950935,0.0,0.5,0.25,0.5,0.26352313834736496,1.0,1.0,0.55,-1.0,0.2838231060987733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,-0.5,0.39440531887330776
CareBench_topic18,CareBench,18,,10,0.6,0.6,0.31999999999999995,-0.39999999999999997,0.10327955589886444,1.0,1.0,0.15,-1.0,0.3374742788552764,1.0,1.0,0.6,-0.5,0.21081851067789198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.85,-0.5,0.24152294576982397
CareBench_topic19,CareBench,19,,10,0.3,0.4,0.2899999999999999,0.0,0.056764621219754674,0.0,0.5,0.1,0.0,0.21081851067789198,0.5,0.5,0.4,0.0,0.21081851067789198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.31622776601683794,1.0,1.0,0.85,0.0,0.24152294576982397
CareBench_topic20,CareBench,20,,10,0.2,0.7,0.29,0.2,0.17288403306519917,0.5,0.5,0.3,-0.5,0.2581988897471611,0.0,1.0,0.4,1.0,0.39440531887330776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.31622776601683794,0.5,1.0,0.65,0.5,0.24152294576982397
CareBench_topic21,CareBench,21,,10,0.3,0.5,0.32999999999999996,-0.09999999999999998,0.11595018087284058,0.0,0.5,0.15,0.5,0.24152294576982394,0.5,1.0,0.3,-0.5,0.34960294939005054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.48304589153964794,1.0,1.0,0.9,-0.5,0.21081851067789198
CareBench_topic22,CareBench,22,,10,0.5,0.5,0.27,-0.3,0.12516655570345728,0.5,0.5,0.15,0.0,0.24152294576982397,1.0,1.0,0.35,-1.0,0.3374742788552764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.85,-0.5,0.24152294576982397
CareBench_topic23,CareBench,23,,10,0.2,0.3,0.23000000000000004,0.0,0.06749485577105528,0.0,0.5,0.15,0.5,0.24152294576982397,0.5,0.5,0.3,-0.5,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.7,0.0,0.25819888974716115
CareBench_topic24,CareBench,24,,10,0.4,0.5,0.33,-0.2,0.12516655570345725,0.5,0.5,0.25,0.0,0.26352313834736496,0.5,1.0,0.55,-0.5,0.43779751788545657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.85,-0.5,0.24152294576982397
CareBench_topic25,CareBench,25,,10,0.5,0.5,0.38,-0.3,0.11352924243950935,1.0,1.0,0.5,-1.0,0.23570226039551584,0.5,1.0,0.65,0.0,0.24152294576982397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,-0.5,0.26352313834736496
CareBench_topic26,CareBench,26,,10,0.4,0.5,0.36,-0.2,0.08432740427115679,0.0,0.5,0.4,0.5,0.21081851067789198,0.5,1.0,0.55,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,-1.0,0.31622776601683794,0.5,1.0,0.75,-0.5,0.3535533905932738
CareBench_topic27,CareBench,27,,10,0.6,0.6,0.27999999999999997,-0.19999999999999996,0.19321835661585918,1.0,1.0,0.35,-0.5,0.3374742788552764,1.0,1.0,0.45,-0.5,0.3689323936863109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.0,0.39440531887330776
CareBench_topic28,CareBench,28,,10,0.1,0.4,0.15000000000000002,0.0,0.11785113019775792,0.0,0.5,0.1,0.5,0.21081851067789198,0.0,0.5,0.2,0.0,0.25819888974716115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.45,-0.5,0.3689323936863109
CareBench_topic29,CareBench,29,,10,0.3,0.5,0.32999999999999996,0.2,0.10593499054713804,0.5,0.5,0.35,0.0,0.24152294576982397,0.5,1.0,0.5,0.5,0.23570226039551584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.8,0.5,0.25819888974716115
