dataset,topic,conv_id,turn,annotator,raw_U1_typicality,raw_U2_evocative,raw_U3_sensitivity,raw_U4_fix_seeking,raw_U5_underlying,norm_U1_typicality,norm_U2_evocative,norm_U3_sensitivity,norm_U4_fix_seeking,norm_U5_underlying,UIRI,band
HOPE,1,HOPE_topic01,1,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,1,HOPE_topic01,2,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,1,HOPE_topic01,3,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,1,HOPE_topic01,4,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,1,HOPE_topic01,5,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,1,HOPE_topic01,6,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,1,HOPE_topic01,7,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,1,HOPE_topic01,8,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,1,HOPE_topic01,9,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,1,HOPE_topic01,10,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,2,HOPE_topic02,1,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,2,HOPE_topic02,2,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,2,HOPE_topic02,3,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,2,HOPE_topic02,4,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,2,HOPE_topic02,5,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,2,HOPE_topic02,6,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,2,HOPE_topic02,7,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,2,HOPE_topic02,8,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,2,HOPE_topic02,9,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,2,HOPE_topic02,10,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,3,HOPE_topic03,1,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,3,HOPE_topic03,2,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,3,HOPE_topic03,3,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,3,HOPE_topic03,4,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,3,HOPE_topic03,5,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,3,HOPE_topic03,6,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,3,HOPE_topic03,7,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,3,HOPE_topic03,8,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,3,HOPE_topic03,9,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,3,HOPE_topic03,10,,1,1,0,0,1,0.5,0.5,0.0,0.0,0.5,0.3,Medium
HOPE,4,HOPE_topic04,1,,0,1,0,1,2,0.0,0.5,0.0,1.0,1.0,0.5,Medium
HOPE,4,HOPE_topic04,2,,1,2,0,0,2,0.5,1.0,0.0,0.0,1.0,0.5,Medium
HOPE,4,HOPE_topic04,3,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,4,HOPE_topic04,4,,0,1,0,1,2,0.0,0.5,0.0,1.0,1.0,0.5,Medium
HOPE,4,HOPE_topic04,5,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,4,HOPE_topic04,6,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,4,HOPE_topic04,7,,0,0,0,1,1,0.0,0.0,0.0,1.0,0.5,0.3,Medium
HOPE,4,HOPE_topic04,8,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Low
HOPE,4,HOPE_topic04,9,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,4,HOPE_topic04,10,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,5,HOPE_topic05,1,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,5,HOPE_topic05,2,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,5,HOPE_topic05,3,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,5,HOPE_topic05,4,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,5,HOPE_topic05,5,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,5,HOPE_topic05,6,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,5,HOPE_topic05,7,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,5,HOPE_topic05,8,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,5,HOPE_topic05,9,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,5,HOPE_topic05,10,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,6,HOPE_topic06,1,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,6,HOPE_topic06,2,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,6,HOPE_topic06,3,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,6,HOPE_topic06,4,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,6,HOPE_topic06,5,,1,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.1,Low
HOPE,6,HOPE_topic06,6,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,6,HOPE_topic06,7,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,6,HOPE_topic06,8,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,6,HOPE_topic06,9,,1,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.1,Low
HOPE,6,HOPE_topic06,10,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Low
HOPE,7,HOPE_topic07,1,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,7,HOPE_topic07,2,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,7,HOPE_topic07,3,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,7,HOPE_topic07,4,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,7,HOPE_topic07,5,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,7,HOPE_topic07,6,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,7,HOPE_topic07,7,,0,2,0,0,2,0.0,1.0,0.0,0.0,1.0,0.4,Medium
HOPE,7,HOPE_topic07,8,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,7,HOPE_topic07,9,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,8,HOPE_topic08,1,,0,1,0,1,2,0.0,0.5,0.0,1.0,1.0,0.5,Medium
HOPE,8,HOPE_topic08,2,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,8,HOPE_topic08,3,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,8,HOPE_topic08,4,,0,0,1,0,1,0.0,0.0,1.0,0.0,0.5,0.3,Medium
HOPE,8,HOPE_topic08,5,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,8,HOPE_topic08,6,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,8,HOPE_topic08,7,,0,2,1,0,2,0.0,1.0,1.0,0.0,1.0,0.6,High
HOPE,8,HOPE_topic08,8,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,8,HOPE_topic08,9,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,8,HOPE_topic08,10,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
HOPE,9,HOPE_topic09,1,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,9,HOPE_topic09,2,,0,1,0,1,2,0.0,0.5,0.0,1.0,1.0,0.5,Medium
HOPE,9,HOPE_topic09,3,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,9,HOPE_topic09,4,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,9,HOPE_topic09,5,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,9,HOPE_topic09,6,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,9,HOPE_topic09,7,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,9,HOPE_topic09,8,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,9,HOPE_topic09,9,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,9,HOPE_topic09,10,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,10,HOPE_topic10,1,,1,2,0,0,2,0.5,1.0,0.0,0.0,1.0,0.5,Medium
HOPE,10,HOPE_topic10,2,,0,0,0,0,1,0.0,0.0,0.0,0.0,0.5,0.1,Low
HOPE,10,HOPE_topic10,3,,1,1,0,1,2,0.5,0.5,0.0,1.0,1.0,0.6,High
HOPE,10,HOPE_topic10,4,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,10,HOPE_topic10,5,,0,1,0,0,2,0.0,0.5,0.0,0.0,1.0,0.3,Medium
HOPE,10,HOPE_topic10,6,,0,1,0,0,1,0.0,0.5,0.0,0.0,0.5,0.2,Low
HOPE,10,HOPE_topic10,7,,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,0.2,Low
HOPE,10,HOPE_topic10,8,,1,2,0,0,2,0.5,1.0,0.0,0.0,1.0,0.5,Medium
HOPE,10,HOPE_topic10,9,,1,1,0,0,2,0.5,0.5,0.0,0.0,1.0,0.4,Medium
